City,Latitude,Longitude,State,Zip_Prefix
acorizal,-15.199589388505151,-56.36694095815544,MT,78480
acrelandia,-10.07466858326565,-67.05516175278514,AC,69945
acreuna,-17.40195455360714,-50.37053056738646,GO,75960
acu,-5.575405522903156,-36.92336238529808,RN,59650
açu da torre,-12.576809999999966,-38.00416999999993,BA,48288
acucena,-19.902229208970322,-43.99422191212101,MG,35147
acucena,-19.076274142613915,-42.54788007556345,MG,35150
acupe,-12.661775303973426,-38.751328908632885,BA,44218
adamantina,-21.68804676595129,-51.08242332977711,SP,17800
adao colares,-0.9331793302279578,-48.2798854881097,MG,39597
adelandia,-16.416402723430952,-50.16377451198217,GO,76155
adhemar de barros,-22.691044103224606,-52.73500879810208,PR,87895
adolfo,-21.234119029163132,-49.640346435371384,SP,15230
adrianópolis,-24.66070923318963,-48.99201537427053,PR,83490
adustina,-10.539030244460557,-38.11332852994619,BA,48435
afogados da ingazeira,-7.749231126194527,-37.63685582174986,PE,56800
afonso arinos,-22.01222443747746,-43.337123104264364,RJ,25875
afonso bezerra,-5.500912499999998,-36.50727375000001,RN,59510
afonso claudio,-20.07893433699639,-41.12429399999999,ES,29609
afonso claudio,-20.072234826974274,-41.13260705353448,ES,29600
afonso cunha,-4.131822624144815,-43.32180703373164,MA,65505
afrânio,-8.515395318535546,-41.012559196742544,PE,56360
afuá,-0.15860862402014062,-50.386531719974805,PA,68890
agisse,-24.306685360044035,-46.97661011647647,SP,19610
agrestina,-8.458042393587931,-35.94626042434976,PE,55495
agricolândia,-5.799059562491884,-42.66179726557431,PI,64440
agrolandia,-27.39631662331496,-49.833659258708046,SC,88420
agronomica,-27.264562930274323,-49.71090723372474,SC,89188
agua azul do norte,-6.803169146446556,-50.484419537352245,PA,68533
agua boa,-17.993693844419166,-42.386763705246636,MG,39790
água boa,-14.047602159984944,-52.15582597611705,MT,78635
agua branca,-9.259948954082985,-37.93480438908667,AL,57490
agua branca,-5.8875930915042165,-42.62470917378938,PI,64460
água branca,-7.514639122372345,-37.63943503598509,PB,58748
agua branca de minas,-16.192079815993335,-41.72616772679282,MG,39629
agua clara,-20.432566862943663,-52.877865012209035,MS,79680
agua comprida,-20.057382920849175,-48.11061678343788,MG,38110
agua doce,-26.997249162083232,-51.55546382143922,SC,89654
agua doce do maranhao,-2.8408116820184137,-42.12078999539448,MA,65578
agua doce do norte,-18.547803235999762,-40.977619180814784,ES,29820
agua fria,-11.871386070181266,-38.76214221054382,BA,48170
água fria,-8.01442121869459,-34.900604011387756,PE,55168
agua fria de goias,-14.980008322372788,-47.77846316061065,GO,73780
agua limpa,-18.07465013678437,-48.76096353443122,GO,75665
agua nova,-6.206699717170034,-38.29467861977069,RN,59995
água preta,-8.709961996764505,-35.524064391273406,PE,55550
agua santa,-28.173891598417296,-52.038447007759665,RS,99965
agua vermelha,-21.893561999999996,-47.89098450000001,SP,13578
aguai,-22.052989319565953,-46.972312689561875,SP,13860
aguanil,-20.942989464527432,-45.38707346229964,MG,37273
aguas belas,-9.109966500000002,-37.12290525,PE,55340
aguas claras,-30.13782999999995,-50.87068999999997,RS,94760
aguas da prata,-21.936065315045536,-46.716360855959365,SP,13890
águas de chapecó,-27.073572827552734,-52.98026775226893,SC,89883
aguas de lindoia,-22.47745636162787,-46.63246689302295,SP,13940
aguas de santa barbara,-22.88770495993564,-49.23640149393402,SP,18770
aguas de sao pedro,-22.597237012242353,-47.87304162058393,SP,13525
aguas ferreas,-20.09343090010419,-42.62611023199263,MG,35362
aguas formosas,-17.079065766438983,-40.93146172394964,MG,39880
águas frias,-26.880533366316897,-52.862501232917424,SC,89843
aguas lindas de goias,-15.734161012879357,-48.268760742552324,GO,72915
aguas lindas de goias,-15.724759999999947,-48.32085981499995,GO,72921
aguas lindas de goias,-15.723933037999927,-48.29112999999995,GO,72920
aguas lindas de goias,-15.705057229778243,-48.27981719019313,GO,72925
aguas lindas de goias,-15.704463180518244,-48.27907361436052,GO,72922
aguas lindas de goias,-15.703843499999994,-48.27793725000001,GO,72910
aguas lindas de goias,-15.703532693586782,-48.277570942145786,GO,72912
aguas lindas de goias,-15.702868231653717,-48.273443569175505,GO,72911
aguas lindas de goias,-15.688824999999952,-48.26050142199995,GO,72917
águas lindas de goiás,-15.801842436999948,-48.299912974999984,GO,72927
águas lindas de goiás,-15.734473643068487,-48.25735363746342,GO,72914
águas lindas de goiás,-15.706009177982828,-48.2813184715604,GO,72926
águas lindas de goiás,-15.704729593311113,-48.279273504420715,GO,72916
aguas mornas,-27.695363785630782,-48.824898256913805,SC,88150
aguas vermelhas,-15.744199673094284,-41.463013085927884,MG,39990
aguas vermelhas,-15.526818160913253,-41.49423151340945,MG,39999
agudo,-29.64132780145571,-53.23705863727485,RS,96540
agudos,-22.467647802717686,-48.98338747714546,SP,17132
agudos,-22.45982088934671,-48.993330568333626,SP,17123
agudos,-22.459168787642053,-48.982708101443514,SP,17128
agudos,-22.45244284794321,-48.98977139671903,SP,17120
agudos do sul,-25.990101518031107,-49.335066317056885,PR,83850
aguia branca,-18.984871448404313,-40.739453147431384,ES,29795
aguiar,-7.093120278106696,-38.17354111988158,PB,58778
aguiarnopolis,-6.562272623005782,-47.471611515602156,TO,77908
agulha,-21.172505117926562,-47.83007176134622,SP,15945
aimores,-19.49473402796823,-41.07024195222019,MG,35200
aiquara,-14.127145555821828,-39.889843825897806,BA,45220
aiuaba,-6.681411746869731,-40.083475621279845,CE,63575
aiuruoca,-21.980415669844405,-44.60631653119611,MG,37450
ajuricaba,-28.238124447645262,-53.769646170631695,RS,98750
alagoa,-22.17391071187777,-44.64586957650184,MG,37458
alagoa grande,-7.037427716533435,-35.62979886985079,PB,58388
alagoa nova,-7.060265930796496,-35.755396476341325,PB,58125
alagoinha,-8.466281320543434,-36.77651808934907,PE,55260
alagoinha,-6.947982726422446,-35.54495800976266,PB,58390
alagoinha do piaui,-7.01005970317913,-40.93928531562054,PI,64655
alagoinhas,-12.158469906248785,-38.42335910130202,BA,48051
alagoinhas,-12.151531044479942,-38.4178163659543,BA,48031
alagoinhas,-12.139655846254026,-38.42905102899015,BA,48050
alagoinhas,-12.139441422507621,-38.42297614758382,BA,48000
alagoinhas,-12.138887435270659,-38.43808292034538,BA,48060
alagoinhas,-12.138508627301245,-38.41393419500347,BA,48030
alagoinhas,-12.137507964605874,-38.41870742459835,BA,48005
alagoinhas,-12.136210232262071,-38.42120394645241,BA,48010
alagoinhas,-12.13335902462911,-38.41485752462909,BA,48020
alagoinhas,-12.131446680472528,-38.43135914903751,BA,48080
alagoinhas,-12.130555150323755,-38.44074642393191,BA,48071
alagoinhas,-12.129450609759333,-38.4441820751171,BA,48070
alagoinhas,-12.124264628592826,-38.430801108071904,BA,48090
alagoinhas,-12.12371008571342,-38.41580130084818,BA,48011
alagoinhas,-12.121983431972435,-38.415176819724365,BA,48040
alambari,-23.568092855750987,-47.88939111855585,SP,18220
albertina,-22.20076706634533,-46.61498907688852,MG,37596
alberto isaacson,-19.498921852945774,-45.06050161134553,MG,35608
alcantara,-2.404971524844057,-44.41769474127628,MA,65250
alcântaras,-3.5876526628349734,-40.544881808233775,CE,62120
alcantil,-7.743232162444185,-36.0629876303929,PB,58460
alcinópolis,-18.32603810081622,-53.709807529904346,MS,79530
alcobaca,-17.311654999999945,-39.63244499999996,BA,45910
aldeias altas,-4.636776336219969,-43.47205668333437,MA,65610
alecrim,-27.653626429208106,-54.76706428758767,RS,98950
alegre,-20.75885563513341,-41.53546035543065,ES,29500
alegrete,-29.80050445204419,-55.79828161835262,RS,97543
alegrete,-29.798041390524272,-55.75839035395308,RS,97547
alegrete,-29.79645588367611,-55.80629280612684,RS,97544
alegrete,-29.79448663716991,-55.7988416853683,RS,97545
alegrete,-29.789188489610215,-55.796942621511924,RS,97542
alegrete,-29.78622192549547,-55.77079086762944,RS,97546
alegrete,-29.78530482202707,-55.79110885322128,RS,97541
alegrete do piauí,-7.242075471150303,-40.85683738308052,PI,64675
alegria,-27.828561146426775,-54.05627715056851,RS,98905
alegria,-19.927283923532038,-41.920068012601845,MG,36935
alem paraiba,-21.865605010277115,-42.705867014246564,MG,36660
alem paraiba,-21.84151847580495,-42.61943279184712,MG,36666
alenquer,-1.943224286282336,-54.74551039332113,PA,68200
alexandra,-25.55118285932953,-48.626543799559336,PR,83250
alexandria,-6.399482171298861,-38.01853582557377,RN,59965
alexandrita,-19.69701256459266,-50.45738026452868,MG,38282
alexania,-16.07894583238036,-48.51634933675774,GO,72930
alfenas,-21.44307414471449,-45.950822013850704,MG,37132
alfenas,-21.433970489834017,-45.9441186135498,MG,37131
alfenas,-21.432934989297852,-45.96587510689691,MG,37133
alfenas,-21.4228888193917,-45.9463673863649,MG,37130
alfenas,-21.420179371992422,-45.959964474046224,MG,37135
alfenas,-21.40864695714521,-45.962626833614735,MG,37136
alfenas,-21.407289471627635,-45.94035829050192,MG,37137
alfredo chaves,-20.63564596381401,-40.749096999405,ES,29240
alfredo guedes,-22.587056708840674,-48.796780228311924,SP,18688
alfredo marcondes,-21.954653240904804,-51.41971584278843,SP,19180
alfredo vasconcelos,-21.146231783090535,-43.76261472192172,MG,36272
alfredo wagner,-27.701350555128187,-49.33459795584936,SC,88450
algodão de jandaíra,-6.9040744281326205,-36.011244785449954,PB,58399
algodões,-10.674079142611236,-39.05057508062291,BA,48832
alhandra,-7.424419818893402,-34.91045276838518,PB,58320
alianca,-7.600865057650731,-35.22801632892964,PE,55890
alianca do tocantins,-11.304658340172317,-48.93832503222829,TO,77455
almadina,-14.703718206259579,-39.639005184873945,BA,45640
almas,-11.561308527526545,-47.168650279901456,TO,77310
almeirim,-1.531725180764866,-52.579813049065194,PA,68230
almenara,-16.186824121841298,-40.69161218605689,MG,39900
almino afonso,-6.157758437798741,-37.76681682352295,RN,59760
almirante tamandare,-25.373385000000006,-49.298753250000004,PR,83508
almirante tamandare,-25.34929908298231,-49.29988844685209,PR,83511
almirante tamandare,-25.344631090195666,-49.27066986303304,PR,83506
almirante tamandare,-25.33160032638932,-49.27717645934557,PR,83503
almirante tamandare,-25.320346386346568,-49.27875530016162,PR,83502
almirante tamandare,-25.319400926164285,-49.30493578183975,PR,83512
almirante tamandare,-25.316851361274026,-49.30459161975918,PR,83507
almirante tamandare,-25.30340942855347,-49.30418023133953,PR,83513
almirante tamandaré,-25.34270242907848,-49.23756463682272,PR,83505
almirante tamandaré,-25.328459084107493,-49.2564525184661,PR,83504
almirante tamandaré,-25.31357267638063,-49.29180267499566,PR,83501
almirante tamandaré,-25.24248807908717,-49.30157494670784,PR,83514
almirante tamandare do sul,-28.139087999999944,-52.91662849999996,RS,99523
aloandia,-17.73339368291835,-49.47684935577093,GO,75615
alpercata,-18.955385191855132,-41.95752750724665,MG,35138
alpestre,-27.25215739922784,-53.031787250701946,RS,98480
alpinopolis,-20.871099247582563,-46.39264799098767,MG,37940
alta floresta,-9.860566767287837,-56.090677116367935,MT,78580
alta floresta d'oeste,-11.924891695655363,-62.00271381852548,RO,76954
altair,-20.526336154555377,-49.058572217266885,SP,15430
altamira,-3.2176703975180883,-52.23490851464027,PA,68373
altamira,-3.211373844172447,-52.21966565997353,PA,68372
altamira,-3.2083253551253788,-52.22237010671653,PA,68374
altamira,-3.2056389790715394,-52.208863809676046,PA,68371
altamira,-3.2007514957904664,-52.21982076610539,PA,68375
altamira,-3.197655000000001,-52.201428750000005,PA,68377
altamira,-3.195479104040259,-52.188450994778826,PA,68376
altamira do maranhao,-4.190206348093078,-45.565125740652114,MA,65310
altamira do parana,-24.801782623093032,-52.71594547080467,PR,85280
altaneira,-6.998786597235944,-39.7399246801677,CE,63195
alterosa,-21.24872699575455,-46.14277511456817,MG,37145
altinho,-8.487249302308262,-36.06124155479698,PE,55490
altinopolis,-21.017096447298147,-47.38948762712411,SP,14350
alto alegre,-28.77644316100997,-52.987249256131896,RS,99430
alto alegre,-22.899708903318153,-51.889005760181064,PR,86695
alto alegre,-21.583263278673222,-50.16737017613085,SP,16310
alto alegre,2.994115192279059,-61.311676632930016,RR,69350
alto alegre do iguacu,-22.896711706478502,-51.8908414339614,PR,85794
alto alegre do maranhao,-4.218598229864456,-44.44874597259727,MA,65413
alto alegre do pindare,-3.6666985993633183,-45.84418866209721,MA,65398
alto alegre dos parecis,-12.120914313528626,-61.855960854673604,RO,76952
alto araguaia,-17.31333146270827,-53.220483305200965,MT,78780
alto bela vista,-27.435274975991305,-51.90574997409418,SC,89730
alto boa vista,-11.672235434747334,-51.37828852559497,MT,78665
alto calcado,-20.946109999999976,-41.61999999999995,ES,29475
alto caparao,-20.440518090812166,-41.86617299999999,MG,36979
alto do rodrigues,-5.287950697859619,-36.76305719547753,RN,59507
alto feliz,-29.38180535763347,-51.31145024436661,RS,95773
alto garcas,-16.944486323891155,-53.52314557669081,MT,78770
alto horizonte,-14.195966967713574,-49.33496921992791,GO,76560
alto jequitiba,-20.42425400203235,-41.96511962279706,MG,36976
alto longa,-5.250416415704766,-42.21026966555032,PI,64360
alto maranhao,-20.562229075264067,-43.856807486033915,MG,36417
alto mutum preto,-19.274999999999977,-40.90749999999997,ES,29737
alto paraguai,-14.51487560528821,-56.4827304079323,MT,78410
alto paraiso,-9.715787844777758,-63.32030782076434,RO,76862
alto paraíso,-23.50562086030579,-53.73231372825629,PR,87528
alto paraiso de goias,-14.134031989630474,-47.51351624236543,GO,73770
alto parana,-23.132700277025453,-52.31974206630135,PR,87750
alto parnaiba,-9.112023398351866,-45.93318002372552,MA,65810
alto piquiri,-24.030011266675675,-53.44690926831338,PR,87580
alto rio doce,-21.023959578895962,-43.408157186541416,MG,36260
alto rio novo,-19.05726560399876,-41.01760299031785,ES,29760
alto santo,-5.520457245470628,-38.27143100905873,CE,62970
alto taquari,-17.828886369455198,-53.286806585326936,MT,78785
altonia,-23.87187862242288,-53.90062937414095,PR,87550
altos,-5.046021758936793,-42.44861075624933,PI,64290
aluminio,-23.517367710768436,-47.26079094034855,SP,18125
alvacao,-16.408132897676698,-44.21771746392958,MG,39347
alvaraes,-3.2110188563874753,-64.80427013726734,AM,69540
alvarenga,-19.419939705930005,-41.72833903675876,MG,35249
alvares florence,-20.320578992887047,-49.90769272970769,SP,15540
alvares machado,-22.077668074421375,-51.469341169800465,SP,19160
álvaro de carvalho,-22.078837959261303,-49.72058993204933,SP,17410
alvinlandia,-22.443957924230688,-49.76378228989501,SP,17430
alvinópolis,-20.10751433999627,-43.05751404000867,MG,35950
alvorada,-30.045642343708916,-51.08332668676049,RS,94856
alvorada,-30.045270560790065,-51.0608988611771,RS,94855
alvorada,-30.03860801506777,-51.077830343233124,RS,94858
alvorada,-30.034015194094764,-51.08206819862761,RS,94859
alvorada,-30.023630346810968,-51.05868310343233,RS,94853
alvorada,-30.012852212499343,-51.08235229027944,RS,94850
alvorada,-30.010775679948647,-51.04112711825188,RS,94838
alvorada,-30.009630605709347,-51.077184531382386,RS,94810
alvorada,-30.006205565309997,-51.05450977585838,RS,94818
alvorada,-30.004788494713154,-51.05249422841804,RS,94852
alvorada,-30.000191890403272,-51.029234623602704,RS,94836
alvorada,-29.999337003882076,-51.07390917257923,RS,94814
alvorada,-29.997056471063946,-51.08329485192022,RS,94820
alvorada,-29.995244743410073,-51.049476550959014,RS,94834
alvorada,-29.991453584780118,-51.07722022536116,RS,94824
alvorada,-29.990704449352126,-51.06209200169434,RS,94828
alvorada,-29.985256734666656,-51.0328950535929,RS,94830
alvorada,-21.212759654680113,-43.77310454002815,MG,36803
alvorada,-12.479179309920433,-49.12066779219962,TO,77480
alvorada de minas,-18.728438015706164,-43.36279498048812,MG,39140
alvorada do gurguéia,-8.455556999999946,-43.978332499999965,PI,64923
alvorada do norte,-14.48369105531373,-46.489396831882395,GO,73950
alvorada do sul,-22.775065981820703,-51.22688413740308,PR,86150
alvorada d'oeste,-11.35260070889819,-62.28468336460854,RO,76930
amambai,-23.095537793758137,-55.235591634026875,MS,79990
amanari,-3.504514941264218,-39.57289793990247,CE,61979
amandina,-22.385330182396338,-53.594664287294876,MS,79742
amanhece,-18.53401304549487,-48.19629512032545,MG,38455
amapa,2.0534872566250724,-50.79293156636463,AP,68950
amapá do maranhão,-1.6747728410811775,-46.01120050486437,MA,65293
amapora,-23.096977141561467,-52.782814607987675,PR,87850
amaraji,-8.382198401987715,-35.45034741596354,PE,55515
amaral ferrador,-30.875108780218255,-52.251706895627485,RS,96635
amaralina,-13.851893999999945,-49.61564449999996,GO,76493
amarante,-6.249830263775127,-42.85098995177482,PI,64400
amarante do maranhao,-5.577456425209083,-46.740474175412636,MA,65923
amarantina,-20.325640208255113,-43.69029077872895,MG,35412
amargosa,-13.032656832653139,-39.589148023011965,BA,45300
amaturá,-3.360578634395564,-68.19734060856122,AM,69620
amelia rodrigues,-12.39704702659333,-38.756623795014995,BA,44230
america dourada,-11.455907771291734,-41.43758544002722,BA,44910
americana,-22.78001467637804,-47.3518002860981,SP,13467
americana,-22.760113693741847,-47.3108787206844,SP,13479
americana,-22.75357308071264,-47.3394119839509,SP,13468
americana,-22.752315072998986,-47.32371492368279,SP,13466
americana,-22.74703919816495,-47.34322030252755,SP,13465
americana,-22.744504121011015,-47.30243020136758,SP,13477
americana,-22.744040339102405,-47.24289505970237,SP,13476
americana,-22.737278419931872,-47.31266995989381,SP,13478
americana,-22.72893170107914,-47.301322143632056,SP,13473
americana,-22.722145470713865,-47.33535052553523,SP,13471
americana,-22.721365005132203,-47.321328748365374,SP,13472
americana,-22.71890107574422,-47.3497633873832,SP,13470
americana,-22.711207505135885,-47.367894719400994,SP,13469
americana,-22.705055276992322,-47.272984386894834,SP,13475
americana,-22.699283751601328,-47.3060578924634,SP,13474
americano,-1.3016620868536617,-48.05815044813097,PA,68792
americano do brasil,-16.24862100297746,-49.981903406278896,GO,76165
americo brasiliense,-21.732666116112252,-48.111971166222745,SP,14820
americo de campos,-20.300442551848207,-49.73670632642024,SP,15550
ametista do sul,-27.37302039403271,-53.16733955629038,RS,98465
amontada,-3.3622239743473004,-39.83323645071004,CE,62540
amorinopolis,-16.6298040646986,-51.093043596879504,GO,76140
amparo,-22.72282092806635,-46.84179829244856,SP,13908
amparo,-22.717484113550384,-46.78143058832225,SP,13904
amparo,-22.712172829880434,-46.78936475062037,SP,13905
amparo,-22.709517946707855,-46.769180893559934,SP,13903
amparo,-22.706688666945578,-46.75363598626577,SP,13902
amparo,-22.702619514570955,-46.7658643411045,SP,13900
amparo,-22.70252137385309,-46.7762559461596,SP,13901
amparo,-22.697860767961284,-46.72144309631252,SP,13909
amparo,-7.56660263688026,-37.06045358704511,PB,58548
amparo da serra,-20.51096008284088,-42.79541064355066,MG,35444
amparo de sao francisco,-10.129935198619389,-36.926615680686055,SE,49920
ampere,-25.903041716734606,-53.46746806886998,PR,85640
ana dias,-24.303711041917182,-47.066068664780154,SP,11770
anadia,-9.682726142510177,-36.30282096257622,AL,57660
anage,-14.610353818028177,-41.13256492460093,BA,45180
anahy,-24.645897803917094,-53.13485965324821,PR,85425
anajás,-0.9856032706250328,-49.934355754097965,PA,68810
anajatuba,-3.266954606448406,-44.61878762272444,MA,65490
analandia,-22.12626771146922,-47.66165228278019,SP,13550
anama,-3.5791632887343816,-61.4047788174341,AM,69445
ananas,-6.375691732844389,-48.07020541434753,TO,77890
ananindeua,-1.402131495145394,-48.41757288532704,PA,67010
ananindeua,-1.4000288718497462,-48.42956675848101,PA,67013
ananindeua,-1.3937268835602035,-48.382462408751216,PA,67020
ananindeua,-1.3928100127452687,-48.413519126809256,PA,67110
ananindeua,-1.390752277394608,-48.401130617038504,PA,67033
ananindeua,-1.3840326356793753,-48.40836101974514,PA,67015
ananindeua,-1.3815477239232332,-48.424300544066185,PA,67100
ananindeua,-1.3808722504764188,-48.426235562417965,PA,67120
ananindeua,-1.3779152588166108,-48.413582524328994,PA,67115
ananindeua,-1.3771538267361843,-48.42040092554289,PA,67113
ananindeua,-1.3656635515649305,-48.41030794253792,PA,67130
ananindeua,-1.3620913191586428,-48.38531464383729,PA,67146
ananindeua,-1.35833110901131,-48.39061860212605,PA,67145
ananindeua,-1.3556635787308342,-48.403802111059946,PA,67133
ananindeua,-1.3530243841636622,-48.37987589266907,PA,67030
ananindeua,-1.3518237525053762,-48.39985447417086,PA,67143
ananindeua,-1.3513090381138253,-48.391465420834045,PA,67040
ananindeua,-1.3494216140355924,-48.41069254224951,PA,67035
ananindeua,-1.3472829402922595,-48.39639682686126,PA,67140
ananindeua,-1.347044600823443,-48.41802798313056,PA,67118
ananindeua,-1.3383317204210916,-48.40130701054111,PA,67125
ananindeua,-1.3219692136468153,-48.381456468835815,PA,67103
anapolis,-16.388687999999945,-48.924093499999955,GO,75132
anapolis,-16.37601369514842,-48.986790518438,GO,75136
anapolis,-16.37425825917739,-48.978557381534706,GO,75131
anapolis,-16.373440887999948,-48.82239499999997,GO,75102
anapolis,-16.369248309992564,-48.94101674508887,GO,75105
anapolis,-16.361696563708794,-48.9849737181456,GO,75134
anapolis,-16.35896592547895,-48.943780413088355,GO,75106
anapolis,-16.358780999999947,-48.93819649999996,GO,75100
anapolis,-16.355349213421277,-48.912261221096564,GO,75104
anapolis,-16.354785062593226,-48.93371714225733,GO,75070
anapolis,-16.353515223172256,-48.905208683248915,GO,75103
anapolis,-16.353015575754664,-48.95030877487847,GO,75125
anapolis,-16.353013500000003,-48.96504675,GO,75124
anapolis,-16.343716499999996,-48.97696049999998,GO,75145
anapolis,-16.343406,-48.96409949999999,GO,75120
anapolis,-16.343030999999947,-48.93808399999996,GO,75114
anapolis,-16.339306642026028,-48.96303169514996,GO,75113
anapolis,-16.338105242012862,-48.965946806723444,GO,75143
anapolis,-16.33674884233032,-48.95262089320569,GO,75123
anapolis,-16.336207516553475,-48.95112644748969,GO,75115
anapolis,-16.334870376021268,-48.92031569336169,GO,75095
anapolis,-16.334726816129532,-48.95890526628598,GO,75023
anapolis,-16.334298097639707,-48.903841254322195,GO,75101
anapolis,-16.3327550678405,-48.920350020414524,GO,75064
anapolis,-16.32921907546594,-48.96582152273616,GO,75140
anapolis,-16.328349999999944,-48.95726999999994,GO,75025
anapolis,-16.32803344134122,-48.96306171658031,GO,75024
anapolis,-16.327942149486358,-48.93600324439582,GO,75110
anapolis,-16.327649541701827,-48.950566685506466,GO,75020
anapolis,-16.323046536772292,-48.96200044053245,GO,75044
anapolis,-16.322742376495544,-48.92109566785528,GO,75097
anapolis,-16.32165886081413,-48.95921419375512,GO,75043
anapolis,-16.320791439297466,-48.931419790285396,GO,75094
anapolis,-16.319442054336207,-48.94986118063003,GO,75080
anapolis,-16.31620765715852,-48.90644446180743,GO,75091
anapolis,-16.31537769477085,-48.96046003304902,GO,75045
anapolis,-16.314652421504086,-48.940943840919815,GO,75084
anapolis,-16.305831000000005,-48.93488775,GO,75075
anapolis,-16.303634999999993,-48.92667750000001,GO,75076
anapolis,-16.302689329371574,-48.94349103757147,GO,75083
anapolis,-16.3016055,-48.95189325,GO,75060
anapolis,-16.300830241026752,-48.96752898412001,GO,75050
anapolis,-16.289654712624667,-48.9307729971345,GO,75053
anapolis,-16.288748606190804,-48.95598650378377,GO,75063
anapolis,-16.285449164026584,-48.92939136561062,GO,75085
anapolis,-16.282145381252185,-48.936519837271256,GO,75126
anapolis,-16.280437101377682,-48.98428069439646,GO,75066
anapolis,-16.275569069570757,-48.933843244646695,GO,75072
anapolis,-16.27502206868314,-48.93159144544514,GO,75054
anapolis,-16.270377518999965,-48.95521499999995,GO,75071
anapolis,-16.253180906961877,-48.94033977891135,GO,75073
anápolis,-16.39040558641609,-48.98206775964002,GO,75135
anápolis,-16.378654881078795,-48.95431434208054,GO,75133
anápolis,-16.372741046960908,-48.96469619050585,GO,75130
anápolis,-16.331438999999946,-48.92872849999996,GO,75096
anápolis,-16.327376679407188,-48.97546316102373,GO,75144
anápolis,-16.325630999999994,-48.91623975,GO,75093
anápolis,-16.311222458810462,-48.956399158122494,GO,75040
anápolis,-16.302135469371184,-48.88835311283921,GO,75090
anápolis,-16.277786768474208,-48.9654613081485,GO,75065
anápolis,-16.277436,-48.930338250000005,GO,75074
anapu,-3.4705602583659765,-51.201372588348654,PA,68365
anapurus,-3.672435114755032,-43.10485070783976,MA,65525
anastacio,-20.49526145111812,-55.80300727828307,MS,79210
anaurilândia,-22.186518666047206,-52.720175649737776,MS,79770
anchieta,-26.532201134029513,-53.329103721528284,SC,89970
anchieta,-20.804829673444225,-40.649292,ES,29230
andarai,-12.805799274074394,-41.33381531066535,BA,46830
andira,-23.059624029607928,-50.223081823611544,PR,86380
andorinha,-10.345014304318816,-39.8364493454778,BA,48990
andradas,-22.07406456966723,-46.5864399743845,MG,37795
andrade pinto,-22.238961575737918,-43.42418558302082,RJ,27770
andradina,-20.913260060505507,-51.37206780904842,SP,16900
andradina,-20.91040333601919,-51.363079871334584,SP,16902
andradina,-20.905533649460434,-51.39691991035258,SP,16903
andradina,-20.899751311962603,-51.36595622231519,SP,16901
andradina,-20.884900499999993,-51.367473,SP,16905
andre da rocha,-28.63235819903258,-51.573247145680746,RS,95310
andrelandia,-21.74191823788704,-44.31411985816899,MG,37300
andrequice,-18.25622999999996,-45.06661999999994,MG,39207
angatuba,-23.48382538174672,-48.42423504843037,SP,18240
angelândia,-17.728726464008563,-42.26754760406931,MG,39685
angélica,-22.159987089558317,-53.781955282627386,MS,79785
angelim,-8.889207168654531,-36.2813002828039,PE,55430
